и	и:ROOT
вилка	вил:ROOT/к:SUFF/а:END
виноград	виноград:ROOT
-обучающийся	об:PREF/уч:ROOT/а:SUFF/ющ:SUFF/ий:SUFF/ся:POST #"ий" - окончание
настоящее	настоящ:ROOT/ее:END
паника	пан:ROOT/ик:SUFF/а:END
мисс	мисс:ROOT
нумер	нумер:ROOT
винт	винт:ROOT
-пенсне	пенсн:ROOT/е:END #всё слово - корень, окончания нет, так как неизменяемое
г	г:ROOT
панталоны	панталон:ROOT/ы:END
усик	ус:ROOT/ик:SUFF
мгновенье	мгновень:ROOT/е:END
невозможность	не:PREF/воз:PREF/мож:ROOT/н:SUFF/ость:SUFF
г-жа	г-ж:ROOT/а:END
провал	про:PREF/вал:ROOT
провинция	провинци:ROOT/я:END
-свиданье	свидань:ROOT/е:END #ошибка в слове, правильно "свидание"
комнатка	комнат:ROOT/к:SUFF/а:END
глуповец	глуп:ROOT/ов:SUFF/ец:SUFF
затруднение	за:PREF/трудн:ROOT/ени:SUFF/е:END
-чутье	чу:ROOT/ть:END/е:END #"ть" - суффикс (есть в Тихонове)
авось	авось:ROOT
кафе	кафе:ROOT
-шкидец	шкидец:ROOT #"ец" - суффикс
провизия	провизи:ROOT/я:END
кра	кр:ROOT/а:END
фрау	фрау:ROOT
разновидность	разн:ROOT/о:LINK/вид:ROOT/н:SUFF/ость:SUFF
витрина	витрин:ROOT/а:END
овощ	овощ:ROOT
бакенбарда	бакен:ROOT/бард:ROOT/а:END
виселица	висел:ROOT/иц:SUFF/а:END
-метро	метр:ROOT/о:END #всё слово - корень, окончания нет, так как неизменяемое
коль	коль:ROOT
острие	остр:ROOT/и:SUFF/е:END
-пани	пан:ROOT/и:END #"и" - суффикс, образующий ж.р.
шов	шов:ROOT
видимость	вид:ROOT/им:SUFF/ость:SUFF
-интернет	интер:ROOT/нет:ROOT #всё слово - корень
урусут	урусут:ROOT
виноградник	вин:ROOT/о:LINK/град:ROOT/ник:SUFF
-мсье	мсь:ROOT/е:END #всё слово - корень, окончания нет, так как неизменяемое
пансион	пансион:ROOT
-ученье	уч:ROOT/ень:SUFF/е:END #ошибка в слове, правильно "учение"
-кипчак	кип:ROOT/чак:SUFF #всё слово - корень
боеприпас	бо:ROOT/е:LINK/при:PREF/пас:ROOT
папашенька	пап:ROOT/аш:SUFF/еньк:SUFF/а:END
ладошка	ладош:ROOT/к:SUFF/а:END
